CB.CB_CD34_1	CB.CB_CD34_2	CB.CB_CD34_3	CB.CB_BFUE_1	CB.CB_BFUE_2	CB.CB_BFUE_3	CB.CB_CFUE_1	CB.CB_CFUE_2	CB.CB_CFUE_3	X20111212.CBPRO1	X20120309.CBPRO2	X20120327.CBPRO3	X20111212.CBEBASO1	X20120309.CBEBASO2	X20120327.CBEBASO3	X20111212.CBLB1	X20120309.CBLB2	X20120327.CBLB3	X20111212.CBPOLY1	X20120309.CBPOLY2	X20120327.CBPOLY3	X20111212.CBORTHO1	X20120309.CBORTHO2	X20120327.CBORTHO3	PB.PB_CD34_1	PB.PB_CD34_2	PB.PB_CD34_3	PB.PB_BFU_1	PB.PB_BFU_2	PB.PB_BFU_3	PB.PB_CFU_1	PB.PB_CFU_2	PB.PB_CFU_3	PB.Pro_PB_1	PB.Pro_PB_2	PB.Pro_PB_3	PB.Early_baso_PB_1	PB.Early_baso_PB_2	PB.Early_baso_PB_3	R.Late_baso_PB_1	R.Late_baso_PB_2	R.Late_baso_PB_3	R.Poly_PB_1	R.Poly_PB_2	R.Poly_PB_3	R.Orth_PB_1	R.Orth_PB_2	R.Orth_PB_3	Geneid
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OR2T10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OR2T11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OR2T35
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OR2T27
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OR14I1
0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.1	0	1	0.3	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LYPD8
7.9	13.6	8.8	38.3	46.9	43.9	40	44.9	36.5	75.4	43.5	46.7	75	52.4	49	81	58.6	53.7	91.7	73.6	86.8	72.5	54.6	46.8	10.5	8.2	6.6	39	46.4	28.2	50.4	52.5	44.5	59.5	61.1	52.2	64.4	64	55.1	69.1	68.5	49.5	60.4	67.8	57.4	43.9	38.1	32.3	SH3BP5L
0	0	0	0.1	0	0	0	0	0	0.1	0	0.1	0.1	0	0	0	0	0	0.1	0.1	0.2	0.1	0.1	0.2	0	0	0	0	0.1	0	0	0.1	0	0	0	0	0.1	0	0	0	0	0.1	0.1	0.1	0.1	0	0	0	MIR3124
11	17.8	11.2	52.9	55.5	50.7	44.8	45.3	38.7	88.8	60.1	89.1	115.6	87	111.9	127.6	102	125.5	98.6	92.3	108.4	42.2	19.4	17.1	21.4	15.6	13.4	66.2	51.9	38.1	66.1	56.4	65.7	62.3	63.6	65.8	79.8	80.9	81.2	88.7	99.3	86.9	23.4	46.1	54.8	26.8	24.3	18.4	ZNF672
30.8	36.5	35.6	23.9	21.2	17.7	31.5	34.2	21.4	35.8	33.8	68.2	33.9	39.5	71.8	24.1	31.9	53.6	7.4	9.5	11.9	1.7	2	1.3	15.1	23.4	34.4	47.9	70.8	137.5	20.2	23.6	26.7	29.7	33.5	20.3	28.7	29.3	18.9	19.7	25.5	33	4	11.7	2.8	1	1.2	0.3	ZNF692
2.8	4	2.4	20.6	16.7	15.9	21.1	19.1	15.7	17.7	18.2	16.4	20.9	19.6	16.3	23.2	22.2	17	17.8	17.7	21.3	3.6	3.8	3.6	1.5	1.3	1.5	13.4	16.5	11.7	15.2	20.5	17.6	18.3	19	17.9	20.8	21.2	18.1	21.4	22.7	21.8	6.8	14.1	8.9	1.6	2.1	1.4	PGBD2
5.6	4.7	4.4	6.7	7.4	9.6	6.9	7	11.7	11.2	6.5	8.8	16.4	9.7	9.8	19	13.5	15.7	8.8	9.2	7.7	5.1	3.9	4.3	1	1.9	4.2	2.3	4.6	5.6	6.8	7.1	6.4	10.4	7.9	11.4	12.1	12.3	15.2	14.7	13.5	16.9	5.3	7.1	8.6	5.5	3.2	5.4	TUBB8
65	63	60.1	82	67.7	81.5	93.5	88.9	93.3	73.4	104.1	77.7	73.6	99.2	82.5	64.9	95.3	79.4	35.1	46.6	37.4	3.8	4.3	3.4	28	20.3	44.8	68.1	72.5	55.7	91.7	101.1	91.8	104.9	103	95.6	106.4	105.1	84.7	101.3	102.1	80.5	10.8	36.3	23.8	1.4	2.7	1.9	ZMYND11
0.7	0.5	0.6	0.1	0.1	0.5	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.5	0.6	0.6	1	2.7	0.2	0.2	0.3	0	0.1	0.1	0	0	0.2	0.1	0	0.1	0	0	0.1	0	0	0.1	DIP2C
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MIR5699
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRR26
51.8	54.9	36.7	134.4	135.7	138.9	138.4	133.7	141.9	125.8	127	113.3	120.4	134.5	113.5	99.1	127.9	100.8	58.1	63.5	53.6	18.4	16.3	13.1	21.8	23.4	30.2	76.7	102.6	78.7	127.9	147.3	118	108.3	120.5	106.5	110.1	107.2	98.7	104.3	107.3	86.3	41	66.2	45.3	9.9	15.6	9.3	LARP4B
71.6	78	32.4	116.2	109	150.3	139.2	133.5	210.7	129.5	141.8	129.7	111.6	127.5	124.4	58.9	84.5	84.8	14.7	16.5	14.1	9.1	5.8	4.2	29.7	38.8	41.3	50.4	94.9	75.6	116.7	122.6	127.2	106.8	103.4	97.3	86	72.5	85.6	53.9	52	73.5	10.7	13.3	15.5	5.3	5.1	3.4	GTPBP4
4.7	4.4	2.4	4.6	3.3	4.3	4	3	4.5	5.9	5.6	7.6	5	5	6.4	1.8	3.4	3.4	0.3	0.2	0.4	0.2	0.3	0.1	2.3	5.2	3.2	3.3	5.2	5.5	2.9	4.9	3.2	5.8	7	3.7	4.5	4.3	3	2.3	2	3.1	0.4	0.6	0.4	0.1	0.1	0.1	IDI2
54.5	35.9	36.6	0.4	0.4	0.2	0.4	0.2	0.2	0.6	0.6	1.8	0.5	0.5	2.2	0.4	0.6	1.8	0.2	1.8	0.8	0.2	0.6	0.4	9.9	3.4	10.4	0.3	1.2	0.1	0.2	0.4	0.2	0.2	0.5	0.4	0.3	0.3	0.3	0.2	0.2	0.4	0.6	0.8	0.1	0.1	0.3	0	IDI2-AS1
425.1	284.4	255.8	84.4	59.4	77.5	50.6	34.7	67.2	77.2	104.5	80.9	56	73.3	67.8	38	54.2	63.2	41.1	57.4	42	32	25.1	19.4	84.6	55.2	164.4	71.7	75.1	44.9	51	65.5	46.4	67.1	58.7	75.6	57.1	50.3	69.6	50.8	42.5	73	46.4	60.1	49.2	23.3	21.1	16.9	IDI1
43.4	40.4	22.8	35.6	37.3	39.9	33.2	30.2	35.3	35.3	27.8	31.1	28.2	30.4	32.4	20.1	27.3	25.1	9.9	8.4	9.5	4.2	4.3	3.2	22.2	17.7	23.3	28.5	43.9	19.2	34.7	40.8	25.9	31.2	34.5	33.2	28.4	30	28.1	22.5	26	24.9	6.9	10.8	5.4	2.4	2.6	0.8	WDR37
1	0.1	0.1	0.4	0.1	0.7	0.5	0.1	1.4	0.5	0	0	0.5	0	0	0.3	0	0	0.1	0	0	0	0	0	0	0.1	0.2	0	0.2	0	0	2	0.3	0	0.5	0.4	0	0.3	0.2	0	0.2	0.3	0	0.2	0	0	0	0	LINC00200
0.5	1.5	0.4	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.4	0.6	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ADARB2
0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ADARB2-AS1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0.2	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00700
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00701
46.1	64.4	50.3	126	130.8	148.3	104.9	137.1	117.5	34.3	21.4	35.2	17.8	14.8	19.9	5.8	4.5	5.5	2.1	0.9	1.3	0.7	0.4	0.4	28.2	25.8	40.7	86.5	127.2	128	127.1	129.5	136.1	24.2	20.7	31.2	13.1	10.9	25.4	4.6	6.2	20.3	2.2	0.9	1.1	0.3	0.5	0.4	PFKP
56.4	50.9	48.6	103.5	90.8	101.4	130.7	119.1	117.2	124.1	74	106.6	103	73.7	105	64.5	54.6	71.1	32.6	21.8	37	14.2	8.8	7.7	33	27.1	31.9	49.1	67.3	60.1	113.9	115.7	112.3	105.3	107.1	107	88.1	81	91.1	65.1	66.1	69.8	53.6	58.5	39	13.9	16.3	10.7	PITRM1
1.8	1.8	0.9	1.1	0.8	0.8	0.9	0.7	0.8	1.1	0.7	3.4	1.1	1.8	4.4	0.7	1.9	2.9	0.8	1.2	1.9	0.7	1	0.8	2.3	2.1	0.8	1.1	0.7	0.6	0.8	1.2	0.5	1.2	2.7	0.8	1.3	1.2	1	0.7	1.4	1.3	3	3.8	0.6	0.9	1.4	0.1	PITRM1-AS1
1111.2	1057.6	746.7	66.1	22.2	26.4	39.2	24.3	16.9	46.4	62.9	142.3	61.7	58.8	124.4	77.9	73	155.3	154.5	190.3	187.8	203	147.2	128.9	354.5	137.2	648.9	10.2	18.2	30.4	16.6	24.5	31.2	72.1	65.4	79.9	76.8	67.2	80.2	104.6	80.8	79.9	82.8	75.5	59.1	207.9	149.3	86.9	KLF6
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00704
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00705
3.8	3.4	5.2	3.6	3.2	3.9	5.9	6.5	4.7	3.4	3.4	2.4	4.6	4.7	3.4	5.3	5.3	4.1	3.6	3.6	4	1.7	2.7	2.1	2.2	2.2	4.2	3	4	3.8	3.5	4.9	5.4	6.3	8.4	6.3	9.1	10.3	7.7	9.4	9.3	10.8	2.4	5.5	3.5	0.4	0.6	0.9	AKR1E2
1.3	1.9	2.9	0.2	0.1	0	0.1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.6	1.1	3	0	0.1	0	0.1	0.1	0.2	0	0.1	0	0	0	0	0.1	0.1	0.1	0	0.1	0.1	0	0	0	AKR1C6P
10	2.9	9	9	1.9	7.4	57	20.4	35.2	16	6.2	19.1	8.5	4.1	11.8	4.8	2.5	6.8	19	6.7	8.8	9.1	6.7	5.7	14.7	16.8	10.8	22	42.1	44.9	56.1	56.8	30.2	36.7	48.3	27.3	30.5	41.3	24	19.7	34.6	21.6	23.3	26.3	26.4	4.6	9	11.5	AKR1C1
7.1	3.3	8.2	6.6	1.9	5.5	38.4	15.2	25.8	15.5	5.4	15.8	8.3	4.2	10.4	4.5	2	6.7	10.8	3.9	5.1	5.2	3.9	3.3	18.6	20.1	9.1	22.5	39	45.6	56.9	49.9	29.1	38.1	53.7	31.1	30.8	42.5	26.5	19.2	35.2	23.8	13.7	16	16	2.2	5.5	7.1	AKR1C2
15.6	14.7	18.1	11.2	6.5	7	42.3	27	17.4	53.1	23.9	38.8	31.7	17.4	26.1	14.2	9	13.5	3.3	1.6	1.4	1.2	1	0.8	63.3	57.7	15.1	44	47.5	38.1	189.9	153.7	92.3	163.9	229.2	140.7	118.4	178.4	111.1	72	121.4	95.1	4.9	13.5	10.8	1.1	2.7	2.6	AKR1C3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AKR1CL1
1.8	1.6	2.1	1.4	0.8	0.6	6.1	3.3	2.9	5.9	1.8	3.8	3.4	1.9	3	1.7	1.2	1.9	0.8	0.4	0.3	0.5	0.3	0.2	6.4	4.5	1.7	4.3	4.4	5.9	20.6	18.1	10.4	17.3	24	14.4	13.1	19.5	12.2	7.7	12.4	9.9	1.1	2.2	1.8	0.2	0.8	0.7	AKR1C4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	UCN3
0.2	0.4	0.4	0	0	0	3	3	0.6	2.5	3.3	3.9	1.3	1.6	2.3	0.5	1.1	1.1	0.1	0.1	0	0.1	0	0	0	0	0.2	0.2	0.3	0.2	0.7	2	1.7	1.7	1.2	1.2	0.8	0.5	0.8	0.4	0.7	1.1	0	0	0	0	0	0	TUBAL3
172.4	122	99.6	130.9	116.7	121.3	227.9	223.9	176.1	131.2	193.2	187.3	117.3	172.3	171.2	99	141.8	133.6	41.4	77.1	72.1	22.2	130	104.8	62.6	60.1	126.4	122.3	135.9	125.6	192.2	220.2	237.7	157.9	142.6	175.1	137.1	125.9	153.7	121.2	111.3	134.2	51.4	71.3	58.9	70.5	41.1	45.8	NET1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CALML5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CALML3
8.4	11.5	9.3	22.7	24.8	16.1	24.5	25.9	19.1	17.6	12.2	10.9	9.5	8.5	6.9	3	4.4	2.3	0.1	0.2	0.5	1.6	6.4	7.1	10.5	10.3	9.7	30.6	33	23.8	34.8	37.4	25	10.1	12.7	7.9	6.1	5.6	5.1	2.4	2.9	4.3	0.3	0.1	0.1	3.9	1.2	1.6	ASB13
43.2	55	32	76.2	75.4	86.2	65.3	68	91.5	86.8	70.9	69.1	76.7	78.4	61.3	53.7	59.5	46.1	36.8	34.1	37.2	16.5	34.6	25.8	12.4	10.4	15.2	21.8	40	32.7	50.7	59.7	36.3	51.2	64.4	47.6	44	49.4	42.4	36	43.8	38.6	34.1	49	31.7	20.5	17	9.7	FAM208B
440.7	433	501.2	530	553.4	546.5	540.9	552.1	550.8	369.6	525.2	395.2	334.7	453.4	371.6	266.6	383.7	339.4	112.1	136.4	98.5	25.1	33.9	27.5	351.4	300.6	455.6	473.6	416.3	362.8	462.3	488.3	549.1	452.9	405.1	413.7	391.6	366.6	375.8	338.3	312.8	348	34.5	80.3	72.8	19.7	16.5	15.2	GDI2
6.1	6.8	7.7	7.5	6.7	5.3	10.3	10	7.2	9	8.3	9.1	5.7	7.2	7.4	2.7	4.5	3.7	0.1	0.1	0.2	0.2	0.3	0.4	3.8	4	7.5	7.5	7.5	10.1	9.3	9.3	12.4	7.2	6.8	5.7	5.6	4.5	5.4	3.3	3.6	5.5	0.1	0.2	0.1	0.2	0.1	0.1	ANKRD16
61.7	67.8	72.1	76.6	64.3	65.4	143.4	126.2	100.5	202.7	204.5	223.7	201	204.4	228.5	194.8	195.7	211.4	125.7	121.8	103	63.2	48	42.5	29.7	31	50	45.5	78	70	132.9	147.7	130	217.5	215	218.7	209.7	194.4	215.5	199.7	196.9	217.4	90.8	134.5	99.1	46.3	51.3	41.9	FBXO18
4.3	5	3.7	3.2	3.9	1.3	9.9	9.7	4.3	25.1	24.3	27.8	32.9	30.9	35.4	37	30	37.4	15.5	12.4	10.2	2.1	3.3	3	3	2.9	3.5	3	4.6	4	16.7	14.7	17.8	26.2	29.2	30.4	29.2	31.4	33.2	33	33.3	36.5	8.7	16.9	20.1	4	3	4.8	IL15RA
8.8	5.6	2.5	4.5	8.7	3.2	0.4	0.4	0.2	0.1	0	0	0.1	0.1	0	0.1	0.1	0	0	0	0	0	0	0	1.2	0.7	1.7	3.2	2.8	1.4	1.2	1.6	0.5	0	0	0	0	0.1	0	0.1	0	0.1	0	0	0	0	0	0	IL2RA
98.4	92.5	73.8	122	115.4	122.6	135.1	134	153.7	116.6	146	130.8	125.8	145.5	141.8	109.5	138	131.9	57.3	72.7	62.3	10.6	7.8	6.8	73	60.3	85	101.8	107.8	76	119.6	115.6	142.8	134.2	130.5	130.1	141.7	139.5	128.1	143.6	132.2	133.4	20.6	54	46.7	6	7.7	5.3	RBM17
137.7	93.9	93.2	35.1	37.8	45.7	30	32.4	45.2	27.1	14.4	23.3	22.9	14.2	18.3	18.3	8.6	13	18.7	10.6	10.3	7.2	8.2	6.8	35.8	24.7	94	18.5	30	15.1	31.3	31.9	22.2	14.1	18.2	12.1	13.3	13.5	9	10.2	10.3	7.6	5.7	7.9	4.7	4.2	3.8	1	PFKFB3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MIR3155A
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MIR3155B
1.2	1	1.1	0.2	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0	0	0	0.6	0.3	0.9	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.1	0	0.1	0.1	0	0	0.2	0	0	0.1	0	0	0	0	LOC399715
44.4	55.5	60.9	93.8	75.5	82.9	87.1	99.5	82.6	31.4	25.1	24.6	27	25.2	22.3	18.5	20	15.3	1.5	2.3	1.4	0.4	0.6	0.6	29.1	35.1	48.5	114.3	98.4	77.5	98.9	85.8	87.4	27.6	29.2	28.8	22.8	23.8	25	16.5	17.8	24.3	0.7	1.3	1.6	0.2	0.2	0.1	PRKCQ
11.8	13.2	13.6	28.4	23.7	32.5	26	27.3	36.6	10.7	13.8	10.9	9.7	11	12.6	5.4	9.8	8.3	0.9	1	1	0.1	0.1	0.3	12.4	12.4	14.7	38.6	39.8	35.5	31.3	26.2	30	12.2	11.3	13.7	9.8	8.1	11.6	6.9	6	13.1	0.4	0.7	1.4	0.1	0.1	0.3	PRKCQ-AS1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0.1	LINC00707
45.1	33.3	35.1	13.6	19.5	12.3	23.8	27.1	17.6	14.9	22.3	16	15.9	31.5	17.1	16.7	31.7	19.3	6	18.9	13.5	0.8	1.8	1.6	14.9	13	19	4.7	6.7	5	16.8	18.5	10.2	9.2	10.5	10.2	10	10.4	11.7	10.6	11.6	7.6	0.3	0.4	0.7	0.1	0.1	0.1	SFMBT2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0.1	0	0	ITIH5
0	0.1	0.1	0.1	0	0.1	0	0	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0.3	0.5	0	0.1	0.1	0	0	0.1	0	0	0.1	0	0	0	0.1	0	0	0	0	0.1	0	0	0	0	ITIH2
5.5	7.3	6.8	17	15.9	17	17.3	15.8	18.4	15.7	22.3	18.1	14.5	20.7	16.6	12.5	19.4	17.2	7.6	10.1	8.4	2.7	3	2.9	9.2	8.2	5.9	14.4	11	15.1	15.2	15.9	17.4	16.1	16.3	16.8	17.3	17.9	19.6	15.7	16	19.5	6	10.5	7.4	1.4	2.1	1.9	KIN
157.6	166.8	190.9	223.2	204.6	269.6	247	247	283.8	190.2	232.9	183.5	163.9	178.6	169.5	99.4	129.4	128.9	29.5	33.1	25	10.3	8.6	7	173.5	162.4	215.4	182.5	164.6	171.5	236.9	242.6	271.1	199.3	188	198.9	159.2	147.3	175.2	122.4	104.5	160.9	11.1	27.1	27.3	3.5	4	3.7	ATP5C1
11.7	17.8	13	19.3	20.8	20.3	22.9	22.1	23.9	28.8	25	28	30.1	28.6	31.4	29.7	29.2	29.9	14	16.3	13.5	8.9	7.4	5.8	6.5	10.1	11.3	17.1	40.3	65.3	24.2	20.4	20.5	21.3	20.2	24.6	24.2	21.8	26.4	24.1	24	24.9	5.4	10.6	9.8	11.5	11.6	7.5	TAF3
0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GATA3-AS1
17.3	20.7	31.8	0.2	0.1	0	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0.1	0	10.6	4.3	28.7	1.4	2.2	3.3	0.2	0	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0.2	0	0.1	GATA3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.4	0.1	0.4	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SFTA1P
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00710
390.8	362.6	340.8	286.3	298.5	306.5	97.6	143.7	134.7	3.9	0.8	0.2	1	1.2	0.4	0.9	0.8	0.7	0.6	1.1	0.7	0.5	0.4	0.3	215.3	188.2	217.5	199.3	165.5	136.8	166	94	74.9	0.4	0.7	0.5	0.4	0.6	1.1	0.4	0.4	1.2	0	0	0.2	0	0.1	0.1	CELF2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CELF2-AS2
47.2	57.8	48.4	34.6	26.6	30.4	52.7	44.2	37.2	71.5	72.5	85.9	71.8	73	78.6	74.2	79.2	86.7	59	78.2	61.8	17.4	18.2	13.8	30.1	14.1	29.9	13.3	24.9	13.4	45.2	60.1	40.9	68.5	68.9	65.3	67	63.6	60.8	69	65.6	52.8	27	43.1	34.9	10	11.2	7.6	USP6NL
2	3.1	3.6	6.5	6.3	5.9	5.8	7	4.8	0.6	0.9	1.5	0.2	0.2	0.6	0	0	0	0	0	0	0	0.1	0	1.8	2.9	2.1	2.8	4.9	3.4	6.4	8.1	7.7	2.3	1.4	2.5	1.4	0.9	1.6	0.5	0.3	0.6	0	0	0	0.1	0	0	ECHDC3
8.6	11.3	7.3	12.5	11.8	16.2	18.6	17	21.1	10.7	9.4	8.7	8.8	9	7.8	7.3	8.3	6.5	0.9	1.3	0.5	0.3	0.3	0.2	10.8	12.9	11	15.9	16	11.7	16.5	18.6	21.5	5.1	5.5	8.2	4.7	4.2	6.4	3.5	3.8	6.5	0.1	0	0.1	0	0	0.1	PROSER2
0.6	0.8	0.5	0.2	0.2	0.3	1.7	1.7	1	0.2	0.3	0.1	0.4	0.3	0.2	1.1	0.2	0.3	0.1	0	0.1	0	0	0	0.1	0.2	0.5	0.2	0.4	0.5	0.3	0.5	0.3	0.1	0.1	0	0.1	0	0.1	0	0.1	0.1	0	0	0	0	0	0	PROSER2-AS1
112	118.1	107.4	132.2	114.8	139.8	135.9	130.2	158	108.9	127.9	133	110.4	118.1	131.8	86.7	103.2	125.4	53.7	87.7	76.1	71.6	98.2	70.6	58.1	102.8	64.3	96.8	228	527	130.2	141.9	121.8	136.6	136.1	130.6	140.2	124	119.6	135	113.5	123.1	78.6	78.6	51.2	79.4	65.1	48.2	UPF2
28.7	41.7	36.2	63.2	61.4	64.5	87.7	88.8	72.1	40.9	50.4	57.1	26.4	29.1	42.9	17	26.2	35.6	2.9	3.4	4.6	2.5	1	0.6	13	10.6	22.7	24.9	38.4	31	75.6	82.1	67.4	40.1	38.7	49.5	31.8	26.9	42.6	28.7	23.8	39.1	1.3	2	3.3	0.8	0.7	0.5	DHTKD1
7.5	6.4	6.9	3.2	3.9	4.2	2.5	2.6	2.9	2.1	1.9	1.6	2.6	3.4	4	2.1	3.3	3.8	1.2	2.4	1.6	0.4	0.5	0.7	7.5	7.9	6.3	4.9	5.4	5.1	2.7	3	2.6	2.4	3.7	1.8	3.6	3.9	2.3	3.6	4.2	4.5	0.7	2.4	0.9	0.5	0.4	0.2	SEC61A2
27.2	28.4	29.2	68.4	67	71	62.7	64	79.3	32.8	32	28.5	26.2	26.3	24.7	18.8	22.5	22.6	5.2	6.2	6.1	0.8	0.8	0.9	20.5	23.6	27.5	33.1	39.3	34.3	56.7	56.2	56.6	25.6	24.8	26.2	20.1	19.3	25.2	18.2	16.2	24.8	1	3	4.1	0.5	0.3	0.6	NUDT5
28.2	37.8	29.1	116.8	117.4	134	121	122.4	143.3	73.7	84.2	65.4	57.3	66.6	57.6	30.7	43.5	40.3	9.1	9.1	7.5	2	1.9	1.5	37.7	36.2	32.3	71.9	88.2	63.3	108.2	106.8	120.7	65.5	60.9	67.2	52.1	47.6	57.6	36.2	34.1	54.1	4.2	8.2	8.4	0.7	1.1	1.3	CDC123
24.3	30.4	27.8	20.8	16.1	20.3	15.8	14.4	16.6	5.3	3	7.6	6.6	3.6	6.4	12.3	7.3	9.8	30.3	26.6	65	29.2	13.6	11.8	7.9	4.1	9.1	7.1	7.9	6.8	11.3	17.2	9.7	3.6	4.8	2.7	5.2	7.6	4.4	7.5	10.6	3.7	38.5	26.5	16.7	35.5	27.4	14.9	CAMK1D
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MIR4480
28.1	33.3	31.5	21	15.2	19.4	14.4	12.1	10.8	5.6	3.1	8.1	5.2	3.4	7.9	8.7	4.5	10.1	16.2	14.7	38.1	11.2	5.7	4.3	45.8	27	27.2	14.5	16.5	14.6	10.4	16.7	10.8	3.7	4.9	2.7	5.4	5.3	3.5	6.4	8.3	4	18.3	9.1	4	10.1	6.7	3.3	LOC283070
4.5	1.1	0.9	0.9	1.5	0.3	0.2	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0.6	0	0	0.1	0.2	0.1	0.8	0.7	0.1	0.3	0.1	0.1	0.1	0	0	0	0	0.1	0	0	0	0.1	0.2	0	0.1	0.1	0	0	CCDC3
